Become A Seller,Word een Verkoper
Manage Options (Values of Your Attribute),Manage Opties (Waarden van uw Attribute)
Is Default,is Default
Sort Option,Sort Option
Double click on a group to rename it.,Dubbelklik op een groep om de naam te wijzigen.
Unassigned Attributes,Niet-toegewezen attributen
A name is required.,Een naam is vereist.
This group contains system attributes. Please move system attributes to another group and try again.,Deze groep bevat systeem attributen. Beweeg systeem attributen naar een andere groep en probeer het opnieuw.
Please enter a new group name.,Voer een nieuwe groepsnaam.
"An attribute group named ""/name/"" already exists"".","Een attribuut groep met de naam ""/ name /"" bestaat al."""
"Sorry, we're unable to complete this request.","Sorry, we zijn niet in staat om deze aanvraag te voltooien."
You can't remove attributes from this attribute set.,Je kunt geen attributen verwijderen uit dit attribuut set.
Empty,Leeg
Custom Options,Custom Opties
This is a required option.,Dit is een gewenste optie.
The field isn't complete.,Het veld is niet compleet.
Change,Verandering
Compatible file extensions to upload,Compatible bestandsextensies om te uploaden
Maximum image width,Maximale beeldbreedte
Maximum image height,Maximale beeldhoogte
Maximum number of characters:,Maximaal aantal tekens:
Quantity,Aantal stuks
start typing to search template,beginnen met typen om sjabloon te zoeken
Product online,product online
Product offline,product offline
Product online status,Product online status
Advanced Inventory,geavanceerde Inventory
Manage Stock,Beheer Voorraad
Use Config Settings,Gebruik Config Settings
Out-of-Stock Threshold,Out-of-Stock Threshold
Minimum Qty Allowed in Shopping Cart,Minimum Aantal toegestaan ​​in Winkelwagen
Maximum Qty Allowed in Shopping Cart,Maximum Aantal toegestaan ​​in Winkelwagen
Qty Uses Decimals,Aantal Gebruikt Decimals
Backorders,nabestellingen
Notify for Quantity Below,Houd voor kwantiteit Hieronder
Enable Qty Increments,Enable Aantal Stappen
Qty Increments,Aantal Stappen
Stock Availability,Voorraad
In Stock,Op voorraad
Out of Stock,Geen voorraad meer
Add Product To Websites,Voeg product aan websites
Remove Product From Websites,Verwijder product uit Websites
"To hide an item in catalog or search results, set the status to ""Disabled"".","Als u een item in catalogus verbergen of zoekresultaten, stelt u de status ""Uitgeschakeld""."
Step 2: Attribute Values,Stap 2: Attribuutwaarden
Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.,Kies waarden van elk attribuut in dit product te nemen. Elke unieke combinatie van waarden creëert een unigue product SKU.
Sort Variations,Sorteer Variations
Options,opties
Deselect All,Deselecteer alles
Remove Attribute,Criterium verwijderen
Save Option,Optie Save
Remove Option,Verwijder Option
"Step 3: Bulk Images, Price and Quantity","Stap 3: Bulk Images, prijs en hoeveelheid"
Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.,Op basis van uw selecties% 1 nieuwe producten zullen worden gecreëerd. Gebruik deze stap om foto's en de prijs aan te passen voor uw nieuwe producten.
Images,Afbeeldingen
Apply single set of images to all SKUs,Breng enkele set van beelden voor alle SKU's
Apply unique images by attribute to each SKU,Breng unieke foto's van attribuut voor elke SKU
Skip image uploading at this time,Overslaan afbeelding uploaden op dit moment
Remove image,afbeelding verwijderen
Select attribute,Kies een attribuut
Select,kiezen
Apply single price to all SKUs,Breng één prijs voor alle SKU's
Apply unique prices by attribute to each SKU,Breng unieke prijzen met attribuut voor elke SKU
Skip price at this time,Sla de prijs op dit moment
Apply single quantity to each SKUs,Breng enkele hoeveelheid aan elke SKU's
Apply unique quantity by attribute to each SKU,Breng unieke hoeveelheid per attribuut voor elke SKU
Skip quantity at this time,Sla persoon op dit moment
Step 1: Select Attributes,Stap 1: Selecteer Attributen
Selected Attributes:,Geselecteerd attributen:
Step 4: Summary,Stap 4: Samenvatting
We can't save custom-defined options for bundles with dynamic pricing.,We kunnen geen aangepaste gedefinieerde opties voor een pakket met dynamische prijsstelling te slaan.
Delete Custom Option,Delete optie Aangepast
Sort Custom Options,Sorteer Custom Opties
Input Type,Input Type
%1 <span>x</span> %2 <span>px.</span>,% 1 <span> x </ span>% 2 <span> px. </ Span>
Sort Custom Option,Sorteer optie Aangepast
Web Site,Website
Customer Group,Customer Group
Item Price,Stuksprijs
Action,Actie
and above,en hoger
Delete Tier,Delete Tier
Product In Websites,Product In Websites
(Copy data from: %1),(Kopiëren van gegevens van:% 1)
Add Video,Voeg video toe
Delete video,Delete video
Product Alerts,product alerts
Allow Multiple Boxes for Shipping,Laat Meerdere Dozen voor verzending
Save success,succes Save
Marketplace - Module by,Marketplace - Module door
Landofcoder,Landofcoder
View My Store,Bekijk Mijn Store
Profile,Profiel
Log Out,Uitloggen
Upload Image Zip,Upload Afbeelding Zip
Upload Images Zip,Upload Images Zip
Images Zip,Afbeeldingen Zip
Credit Amount,Hoeveelheid krediet
Total Sales,Totale verkoop
Total Orders,Totaal bestellingen
Total Products,Total producten
Sales Report Day ,Sales Report Day
Sales Report Month,Sales Report Maand
Sales Report Year,Sales Report Year
Your top countries,Uw top landen
Earning amount from country countries,Verdienen bedrag van land landen
Total Order,Totaal bestellen
Total Earning,Total Earning
Last Orders,Last Orders
Best Seller,Bestseller
Most Viewed Products,Meest bekeken producten
Order Date,Besteldatum
Product,Product
Id,ID kaart
Amount,Bedrag
Seller Blance,verkoper Blance
Order Design,Bestel een ontwerp
Create At,Maak At
Billing Address,factuur adres
Shipping Address,Verzendingsadres
<b>Order:</b> # %1,<B> Order: </ b> #% 1
Order Status,Bestelstatus
Purchased From,Gekocht van
Account Information ,Account Informatie
Return to Stock,Terug naar Stock
Qty to Refund,Aantal terug te betalen
Tax Amount,belastingbedrag
Discount Amount,Korting hoeveelheid
Row Total,rijtotaal
Admin Commission,Admin Commissie
Seller Total,verkoper Total
Ordered,bestelde
Invoiced,gefactureerd
Payment Methods,Betaalmethoden
The order was placed using,De bestelling geplaatst via
Credit Memo Comments,Credit Memo Comments
Comment Text,Comment Text
Order Totals,Bestel Totalen
Tax,Belasting
Discount,Korting
Refund Shipping,Terugbetalen Verzend
Adjustment Refund,aanpassing Refund
Adjustment Fee,Fee Adjustment
Grand Total,Eindtotaal
Append Comments,Append Comments
Visible on Frontend,Zichtbaar op Frontend
Email Copy of Credit Memo,E-mail Kopie van creditnota
Refund Offline,Refund Offline
Refund Online,Refund Online
Refund,Terugbetaling
Invoice Date,Factuur datum
Bill to Name,Bill Naam
Grand Total (Base),Grand Total (Base)
Grand Total (Purchased),Grand Total (gekocht)
Bulk Actions,Bulkacties
Invoice Design,factuur Ontwerp
Export Pdf file,PDF-bestand exporteren
<b>Invoice</b> # %1,<B> Invoice </ b> #% 1
Invoice Totals,factuurtotalen
Shipping & Handling,Het verschepen & Behandeling
Seller Amount,verkoper Bedrag
Date,Datum
Currency,Valuta
Cancel Order,Annuleer bestelling
Are you sure you want to cancel this order?,Bent u zeker dat u deze bestelling wilt annuleren?
Send Email,E-mail verzenden
Are you sure you want to send an order email to customer?,Bent u zeker dat u een bestelling e-mail sturen naar de klant?
Are you sure you want to create invoice?,Bent u zeker dat u wilt factuur te creëren?
Credit Memo,credit Memo
Are you sure you want to create credit memo for order?,Weet u zeker dat u wilt creditnota creëren voor orde?
Ship,Schip
Are you sure you want to create ship for order?,Weet u zeker dat u wilt schip maken voor orde?
Item Status,Item Status
Tax Percent,tax Procent
Shipped,verzonden
Track information,Track informatie
Shipped By,Verscheept door
Tracking Number,Volg nummer
No shipping information available,Geen verzendkosten informatie beschikbaar
Carrier,Carrier
Refund Total,Refund Total
Shipment,Verzending
Table Shipment,Tabel Verzending
Ship Date,Verzenddatum
Order #,Bestellen #
Ship to Name,Verzenden naar naam
Total Quantity,Totale kwantiteit
Shipment Design,verzending Ontwerp
<b>Shipment</b> # %1,<B> Verzending </ b> #% 1
Shipping and Tracking Information,Scheepvaart en Tracking Informatie
Track this shipment,Volg deze zending
Number,Aantal
Add,Toevoegen
Items Shipped,items verzonden
Product Name,productnaam
Qty Shipped,Aantal verzonden
Today's Sales,Today's Sales
Today's Earnings,De winst van vandaag
Current Month's Sales,Sales huidige maand's
Current Month's Earnings,Winst huidige maand's
Sales Report,Verkoopcijfers
Browse to find or drag image here(Size 1240x400),Blader te vinden of de afbeelding te slepen hier (Size 1240x400)
Browse to find or drag image here(Size 200x200),Blader te vinden of de afbeelding te slepen hier (Size 200x200)
Social Media,Sociale media
Facebook Name,Facebook Naam
Facebook Page ID,Facebook Pagina ID
Linkedin ID,Linkedin ID
Printerest ID,Printerest ID
Welcome,Welkom
Online,Online
Sender Name,Naam afzender
Sender Email,Sender E-mail
Post a Reply,post een antwoord
Message History,Message History
Sales,verkoop
Manage Product,Manage Product
Simple Product,Simple Product
Virtual Product,Virtual Product
Configurable Product,configureerbare Product
Vacation Setting,vakantie Instelling
Mass Import/Export,Mass importeren / exporteren
Upload Image,Afbeelding uploaden
 Withdrawal, het terugtrekken
You can withdraw up to,U kunt maximaal intrekken
Min amount ,min bedrag
Fee ,Vergoeding
Amount to withdraw,Bedrag terug te trekken
 email account, email account
  Info,  info
You do not have the minimum amount to withdraw,Je hoeft niet het minimum bedrag terug te trekken
Nick Name,Nick Name
Rating,Beoordeling
Comment,Commentaar
All Review,alle beoordeling
Author,Auteur
Guest,Gast
Summary Rating,Overzicht waarderingen
Summary of Review,Overzicht van de testen
Vacation Status,vakantie Status
Turn ON,Aanzetten
Turn OFF,Uitschakelen
Vacation Message,Vacation Message
Vacation Date From,Vakantie Datum Vanaf
Vacation Date To,Vakantie Tot datum
Text display on button add to cart when seller on vacation,Tekstweergave op de knop TOEVOEGEN wanneer verkoper op vakantie
Select Date,Selecteer een datum
Withdrawal information,intrekking informatie
 Email Account, Email account
Net Amount,Netto bedrag
Admin Message,Admin Message
Withdrawal Request,intrekking Request
Your balance,Je balans
Method,Methode
Withdrawals History,onttrekkingen Geschiedenis
Total Amount Received,Totaal bedrag Ontvangen
Created,gemaakt
Store View:,Store View:
Stores Configuration,winkels Configuration
Please confirm scope switching. All data that hasn't been saved will be lost.,Gelieve te bevestigen scope switching. Alle gegevens die niet zijn opgeslagen gaan verloren.
Insert Widget...,Insert Widget ...
We don't recognize or support this file extension type.,Wij hebben geen herkent en ondersteunt dit bestandsextensie type.
Insert Variable...,Variabele invoegen ...
Select All on This Page,Alles selecteren op deze pagina
Deselect All on This Page,Selecteren op deze pagina
Go to Details Page,Ga naar Details Pagina
We could not detect a size.,We konden niet detecteren een grootte.
Image Detail,afbeelding Detail
Warning message,Waarschuwingsbericht
New Product Review,New Product Review
Here are the products you're about to create.,Hier zijn de producten die u staat op het punt te maken.
Associated Products,Aanverwante producten
You created these products for this configuration.,U hebt gemaakt van deze producten voor deze configuratie.
Disassociated Products,gedistantieerd producten
These products are not associated.,Deze producten worden niet geassocieerd.
Ok,OK
Add Products to New Option,Producten toevoegen aan New Option
"Add Products to Option ""%1""","Voeg producten aan Option ""% 1"""
Video Error,video Error
Unknown video type,Onbekend type video
Invalid video url,Ongeldige video-URL
Youtube API key is invalid,Youtube API-sleutel is ongeldig
Video cant be shown due to the following reason: ,Video kan niet worden weergegeven vanwege de volgende reden:
Video not found,Video niet gevonden
New Video,Nieuwe video
Edit Video,Bewerk video
Images and Videos,Afbeeldingen en Video's
Select...,Selecteer ...
Attributes,attributen
"Lof All - <a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>","Lof All - <a href=""http://landofcoder.com"" target=""_blank"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, gratis Magento Extension, Opencart Uitgebreid Reports""> landofcoder.com </ a >"
Market Place,Market Place
General Settings,Algemene instellingen
Seller List Url,Seller List Url
Seller Url Prefix,Verkoper URL-voorvoegsel
Seller Url Suffix,Verkoper Url Suffix
Rating Approval Required,Rating vereiste goedkeuring
Seller Approval Required,Verkoper vereiste goedkeuring
Seller Settings,verkoperinstellingen
Need Admin Approval Product,Noodzaak Admin goedkeuring van het produkt
Seller Commission(%),Verkoper Commissie (%)
Enter global commission for sellers.If you don't using commission in http://yourdomain.com/admin/lofmarketplace/commission/index,Voer wereldwijde commissie voor sellers.If je niet met behulp van de commissie in http://yourdomain.com/admin/lofmarketplace/commission/index
Sales Settings,Sales Instellingen
Can Send Email,Kan E-mail verzenden
Email admin,E-mail admin
Can Create Ship,Kan Ship Maak
Can Create Refund,Kan Refund Maak
Seller Panel,verkoper Panel
Favicon Icon,favicon Icon
Default Title,Default Titel
Header Icon,header
Header Text,Koptekst
Footer Text,Voettekst
Email Settings,Email instellingen
Enable Send Email,Schakel E-mail verzenden
Email Sender,E-mail Sender
Choose template for emailing customer,Kies een sjabloon voor e-mailen klant
Choose template for emailing seller,Kies een sjabloon voor e-mailen verkoper
Choose template for email reply,Kies een sjabloon voor e-mail antwoord
Choose email template for new rating,Kies e-mail template voor nieuwe rating
Choose email template for new order,Kies e-mail template voor nieuwe orde
Choose email template for new invoice,Kies e-mail template voor nieuwe factuur
Choose email template for new shipment,Kies e-mail template voor nieuwe zending
Choose email template for new seller register,Kies e-mail template voor nieuwe verkoper register
Choose email template for approve seller,Kies e-mail template voor goedkeuren verkoper
Choose email template for unapprove seller,Kies e-mail template voor unapprove verkoper
Choose email template for approve product,Kies e-mail template voor goed te keuren product
Choose email template for unapprove product,Kies e-mail template voor unapprove product
Seller Info On Product View Page,Verkoper Info Op Product bekijken pagina
Enabled Seller Block,Enabled Verkoper Block
Show Seller Title,Show Verkoper Titel
Show Seller Logo,Show Verkoper Logo
Show Seller Name,Show Verkoper Naam
Show Seller Address,Show Verkoper Adres
Show Seller Sales,Show Verkoper Sales
Show Seller Phone,Show Seller Phone
Show Seller Contact,Show Verkoper Contact
Text Contact,tekst Contact
Seller List Page,Seller List Pagina
Number Seller Per Page,Aantal Verkoper per pagina
Empty to show all item,Leeg om alle punt te tonen
SEO - Search Engine Optimization,SEO - Search Engine Optimization
Grid Layout,Grid Layout
Number Column on Large Desktop,Nummer Column op Grote Desktop
Large devices Desktops (≥1200px),Grote apparaten Desktops (≥1200px)
Number Column on Desktop,Kolomnummer op het bureaublad
Medium devices Desktops (≥992px),Medium apparaten Desktops (≥992px)
Number Column on Tablets,Nummer Column op tablets
Small devices Tablets (≥768px),Kleine apparaten Tabletten (≥768px)
Number Column on Phones,Nummer Column op telefoons
Extra small devices Phones (<768px),Extra kleine apparaten Phones (<768px)
Group Page,Group Pagina
Seller Multi Shipping,Verkoper Multi Shipping
MarketPlace Seller List,MarketPlace Seller List
Get seller list,Krijg verkoper lijst
Select Static Block,Selecteer Statische Block
Number of Seller to Display,Aantal Verkoper dat u wilt zien
Number Item per Column,Aantal Item per Column
Addtion Class,addtion Class
Carousel Layout,Carousel Layout
Number Columns On Page (Phones),Aantal kolommen op Pagina (telefoons)
Show number items when screen size bellow 480px,Toon aantal items wanneer schermgrootte blaten 480px
Number Columns On Page (Phones to Small tablets),Aantal kolommen op Pagina (Phones naar Small tabletten)
Show number items when screen size between 641px and 480px,Toon aantal items wanneer schermgrootte tussen de 641px en 480px
Number Columns On Page (Phones to tablets),Aantal kolommen op Pagina (Phones om tabletten)
Show number items when screen size between 768px and 641px,Toon aantal items wanneer schermgrootte tussen de 768px en 641px
Number Columns On Page (Portrait tablets),Aantal kolommen op Pagina (portret tabletten)
Show number items when screen size between 979px and 769px,Toon aantal items wanneer schermgrootte tussen de 979px en 769px
Number Columns On Page (Default),Aantal kolommen op pagina (Standaard)
Show number items when screen size between 1199px and 980px,Toon aantal items wanneer schermgrootte tussen de 1199px en 980 px
Number Columns On Page (Large display),Aantal kolommen op Pagina (Groot display)
Show number items when screen size 1200px and up,Toon aantal items wanneer schermgrootte 1200px en up
Autoplay,Automatisch afspelen
Autoplay Timeout,Autoplay Timeout
Item Per Page,Item per pagina
Interval,Interval
RTL,RTL
Loop,Lus
Show dots navigations,Toon dots navigatie
Show next/prev buttons.,Toon volgende / vorige knoppen.
Nav Prev Text,Nav Vorige Text
Nav Next Text,Nav Volgende Tekst
Template,Sjabloon
Seller ID,verkoper ID
Updated At,update
 ID, ID kaart
Seller Balance,verkoper Balance
Delete items,Delete items
Are you sure you want to delete selected items?,Bent u zeker dat u de geselecteerde items wilt verwijderen?
Disable,uitschakelen
Enable,Inschakelen
Active,Actief
Add New Group,Nieuwe groep toevoegen
Bill-to Name,Bill-to Naam
Seller Email,E-mail verkoper
Is Read,Is gelezen
Order ID,Order ID
Increment ID,verhoging ID
Currency Code,Valuta code
Sort Order,sorteervolgorde
Product ID,Product-ID
Review ID,beoordeling ID
Image,Beeld
Shop URL Key,Shop URL Key
Product Price,Product prijs
Payment ID,betaling ID
Method Payment,Method Payment
Pay Action,pay Actie
List Seller,lijst Verkoper
Marketplace 1column,Marketplace 1column
Marketplace 2columns Left,Marketplace 2columns Left
AttributeSetText,AttributeSetText
StatusText,statusText
PDF Invoices,PDF Facturen
Category Name,categorie naam
Parent Category,hoofdcategorie
Images And Videos,Afbeeldingen en video's
Minimum Qty,minimum Aantal
Use Deferred Stock Update,Gebruik deferred update
Stock Status,Voorraadstatus
Delete selected items?,Verwijder geselecteerde items?
Change status,Verander status
